City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Cape Town,ZA,2022-03-08 15:30:45,-33.9258,18.4232,85.12,44,0,18.41
67,Nanortalik,GL,2022-03-08 15:31:32,60.1432,-45.2371,20.97,64,13,10.13
68,Kamenka,RU,2022-03-08 15:31:32,51.3223,42.7678,24.75,96,99,3.65
69,Zhezkazgan,KZ,2022-03-08 15:31:32,47.8043,67.7144,10.09,90,35,7.92
70,Muzhi,RU,2022-03-08 15:31:33,65.3667,64.6667,-20.27,91,93,5.3
71,Khatanga,RU,2022-03-08 15:31:33,71.9667,102.5,-6.43,82,68,12.28
72,Pevek,RU,2022-03-08 15:31:33,69.7008,170.3133,-13.77,100,81,2.39
73,El Rusio,HN,2022-03-08 15:31:34,14.4667,-86.3667,74.84,61,100,3.87
74,Sarahan,IN,2022-03-08 15:31:34,31.5167,77.8,43.34,44,10,9.93
75,Atuona,PF,2022-03-08 15:31:34,-9.8,-139.0333,78.3,78,37,18.57
76,Japura,ID,2022-03-08 15:31:35,-0.3167,102.35,75.04,98,90,1.16
77,Port Elizabeth,ZA,2022-03-08 15:31:35,-33.918,25.5701,73.69,78,20,6.91
78,Kaitangata,NZ,2022-03-08 15:31:35,-46.2817,169.8464,55.13,92,52,4.41
79,Omsukchan,RU,2022-03-08 15:31:36,62.5333,155.8,0.32,98,100,5.66
80,Arraial Do Cabo,BR,2022-03-08 15:29:22,-22.9661,-42.0278,89.56,48,0,19.57
81,Hilo,US,2022-03-08 15:28:16,19.7297,-155.09,70.61,74,75,6.91
82,Kabanjahe,ID,2022-03-08 15:31:36,3.1001,98.4908,63.36,96,100,2.19
83,Luhyny,UA,2022-03-08 15:31:37,51.082,28.4006,26.22,51,94,10.71
84,Tuatapere,NZ,2022-03-08 15:31:37,-46.1333,167.6833,55.81,83,99,2.73
85,Izumo,JP,2022-03-08 15:31:37,35.3667,132.7667,35.55,71,27,4.29
86,Provideniya,RU,2022-03-08 15:31:38,64.3833,-173.3,15.76,72,0,9.24
87,Nianzishan,CN,2022-03-08 15:32:38,47.5167,122.8833,30.6,77,3,5.1
88,Luderitz,NA,2022-03-08 15:32:39,-26.6481,15.1594,75.94,62,0,23.55
89,Aswan,EG,2022-03-08 15:32:39,24.0934,32.907,92.5,9,35,13.8
90,Tuktoyaktuk,CA,2022-03-08 15:32:40,69.4541,-133.0374,-5.8,84,40,6.91
91,Coquimbo,CL,2022-03-08 15:32:40,-29.9533,-71.3436,65.93,72,40,9.22
92,Mirante Do Paranapanema,BR,2022-03-08 15:32:40,-22.2919,-51.9064,93.13,45,0,4.18
93,Chuy,UY,2022-03-08 15:32:41,-33.6971,-53.4616,78.4,42,0,2.84
94,Broome,US,2022-03-08 15:32:41,42.2506,-75.833,36.21,61,75,13.8
95,Longyearbyen,SJ,2022-03-08 15:32:42,78.2186,15.6401,24.64,74,40,9.22
96,Nurota,UZ,2022-03-08 15:32:42,40.5614,65.6886,46.49,74,100,3.6
97,Olafsvik,IS,2022-03-08 15:32:42,64.8945,-23.7142,41.45,86,100,35.54
98,Paita,PE,2022-03-08 15:32:43,-5.0892,-81.1144,86.56,62,93,3.56
99,Fortuna,US,2022-03-08 15:32:43,40.5982,-124.1573,34.72,100,100,8.05
100,Santarem,BR,2022-03-08 15:32:43,-2.4431,-54.7083,82.53,83,75,9.22
101,Nyurba,RU,2022-03-08 15:32:44,63.2842,118.3319,-19.35,100,91,2.1
102,Chifeng,CN,2022-03-08 15:29:54,42.2683,118.9636,36.48,41,0,1.61
103,Lensk,RU,2022-03-08 15:32:44,60.7253,114.9278,9.32,95,100,5.97
104,Norman Wells,CA,2022-03-08 15:32:45,65.282,-126.8329,3.24,78,100,4.61
105,Grand-Lahou,CI,2022-03-08 15:32:45,5.1367,-5.0242,85.01,73,30,8.86
106,Kapaa,US,2022-03-08 15:32:45,22.0752,-159.319,72.12,82,100,20.71
107,Nanakuli,US,2022-03-08 15:32:46,21.3906,-158.1547,74.1,77,40,5.75
108,Nouadhibou,MR,2022-03-08 15:32:46,20.931,-17.0347,71.58,53,79,19.57
109,Poum,NC,2022-03-08 15:32:46,-20.2333,164.0167,81.0,73,14,4.79
110,Zhanakorgan,KZ,2022-03-08 15:32:47,43.9098,67.2495,43.95,42,57,5.37
111,Bording,DK,2022-03-08 15:32:47,56.1465,9.2753,48.43,49,1,2.3
112,Omboue,GA,2022-03-08 15:32:47,-1.5746,9.2618,83.79,78,98,9.33
113,Russell,US,2022-03-08 15:32:48,32.3502,-85.1999,60.08,86,100,4.61
114,Gopalpur,IN,2022-03-08 15:32:48,19.2667,84.9167,76.75,76,0,9.44
115,Boyolangu,ID,2022-03-08 15:32:48,-8.1181,111.8935,75.65,93,100,1.86
116,Saldanha,ZA,2022-03-08 15:32:49,-33.0117,17.9442,84.25,75,22,14.38
117,Rocha,UY,2022-03-08 15:32:49,-34.4833,-54.3333,79.12,41,0,6.55
118,Tiksi,RU,2022-03-08 15:32:49,71.6872,128.8694,-24.54,100,98,1.88
119,Macusani,PE,2022-03-08 15:32:50,-14.0833,-70.4333,47.07,67,77,9.55
120,Chokurdakh,RU,2022-03-08 15:32:50,70.6333,147.9167,-31.85,100,30,3.02
121,Ossora,RU,2022-03-08 15:32:50,59.2353,163.0719,31.68,91,100,15.88
122,Port Augusta,AU,2022-03-08 15:31:31,-32.5,137.7667,64.54,61,0,17.69
123,Aksha,RU,2022-03-08 15:32:51,50.2814,113.2867,26.13,85,100,2.75
124,Iskateley,RU,2022-03-08 15:32:51,67.6803,53.1512,2.84,95,100,10.71
125,Siniscola,IT,2022-03-08 15:32:51,40.5719,9.6922,51.35,47,4,12.48
126,Waipawa,NZ,2022-03-08 15:32:52,-41.4122,175.5153,63.45,88,0,6.73
127,Margate,GB,2022-03-08 15:32:52,51.3813,1.3862,52.86,54,1,4.0
128,New Norfolk,AU,2022-03-08 15:32:52,-42.7826,147.0587,46.71,62,17,1.92
129,Conde,BR,2022-03-08 15:32:53,-7.2597,-34.9075,87.26,62,40,11.5
130,Alice Town,BS,2022-03-08 15:32:53,25.7167,-79.3,75.85,81,6,15.73
131,Dzhebariki-Khaya,RU,2022-03-08 15:32:53,62.2167,135.8,-15.84,100,96,0.69
132,Ust-Kuyga,RU,2022-03-08 15:33:54,70.0167,135.6,-32.39,100,59,2.57
133,Nemuro,JP,2022-03-08 15:33:54,43.3236,145.575,28.76,91,69,5.86
134,Beeville,US,2022-03-08 15:33:54,28.4008,-97.7483,46.51,76,100,6.91
135,Odienne,CI,2022-03-08 15:33:55,9.51,-7.5692,101.14,9,3,5.93
136,Dillon,US,2022-03-08 15:33:32,34.4166,-79.3712,69.51,49,42,12.06
137,Georgetown,MY,2022-03-08 15:32:56,5.4112,100.3354,78.73,99,40,8.05
138,Natchez,US,2022-03-08 15:33:55,31.5604,-91.4032,47.64,73,100,9.22
139,Hami,CN,2022-03-08 15:33:56,42.8,93.45,48.31,32,0,8.99
140,Fougamou,GA,2022-03-08 15:33:56,-1.2154,10.5838,84.67,85,100,3.18
141,Lukovetskiy,RU,2022-03-08 15:33:56,64.2956,41.9211,6.78,97,100,3.15
142,Villa Carlos Paz,AR,2022-03-08 15:33:57,-31.4241,-64.4978,76.06,36,13,7.0
143,Elat,IL,2022-03-08 15:33:57,29.5581,34.9482,71.44,33,90,5.75
144,Saint-Joseph,RE,2022-03-08 15:33:57,-21.3667,55.6167,79.18,86,56,8.5
145,Bin Qirdan,TN,2022-03-08 15:33:58,33.1378,11.2197,57.96,58,38,11.3
146,Juneau,US,2022-03-08 15:33:58,58.3019,-134.4197,28.45,90,20,0.0
147,Ponta Do Sol,PT,2022-03-08 15:33:58,32.6667,-17.1,66.0,56,70,4.34
148,Mahebourg,MU,2022-03-08 15:33:59,-20.4081,57.7,79.09,89,75,4.61
149,Tasiilaq,GL,2022-03-08 15:33:59,65.6145,-37.6368,21.36,73,43,3.31
150,Bambous Virieux,MU,2022-03-08 15:33:59,-20.3428,57.7575,79.05,89,75,4.61
151,Kaeo,NZ,2022-03-08 15:34:00,-35.1,173.7833,63.32,93,99,8.48
152,Ostrovnoy,RU,2022-03-08 15:34:00,68.0531,39.5131,15.35,92,100,17.56
153,Mahajanga,MG,2022-03-08 15:30:42,-15.7167,46.3167,84.22,84,40,3.44
154,Miles City,US,2022-03-08 15:34:01,46.4083,-105.8406,23.5,73,100,17.27
155,Kununurra,AU,2022-03-08 15:34:01,-15.7667,128.7333,75.18,88,40,8.05
156,Kargasok,RU,2022-03-08 15:34:01,59.0556,80.8572,0.09,91,100,13.18
157,Lasa,IT,2022-03-08 15:34:01,46.6166,10.7002,44.51,69,19,0.89
158,Chon Daen,TH,2022-03-08 15:34:02,16.1895,100.8596,84.18,52,98,3.51
159,Victoria,HK,2022-03-08 15:32:00,22.2855,114.1577,64.09,69,2,10.0
160,Santa Rosa,PH,2022-03-08 15:34:03,14.3122,121.1114,82.38,69,28,12.24
161,Palmer,US,2022-03-08 15:34:03,42.1584,-72.3287,41.14,41,40,28.77
162,Ejura,GH,2022-03-08 15:34:03,7.3856,-1.3562,99.88,26,11,4.16
163,Great Falls,US,2022-03-08 15:34:04,47.5002,-111.3008,16.99,84,100,18.41
164,Trelew,AR,2022-03-08 15:34:04,-43.249,-65.3051,82.17,15,33,35.81
165,Monteagudo,BO,2022-03-08 15:34:05,-19.8167,-63.9833,80.38,56,100,4.09
166,Puerto Ayora,EC,2022-03-08 15:34:05,-0.7393,-90.3518,82.36,88,16,5.99
167,Los Llanos De Aridane,ES,2022-03-08 15:34:06,28.6585,-17.9182,65.95,76,20,5.75
168,Dalbandin,PK,2022-03-08 15:34:06,28.8947,64.4101,64.74,55,79,12.28
